GEO_ID,NAME,Median_Income,NAME_sex,Total_Population,Male_Total,Female_Total,NAME_race,Race_Total,White_Alone,Black_Alone,NAME_hispanic,Ethnicity_Total,Hispanic_Latino,Non_Hispanic_Latino,GEOID
1400000US36005006000,Census Tract 60; Bronx County; New York,53371,Census Tract 60; Bronx County; New York,1220,599,621,Census Tract 60; Bronx County; New York,1220,53,264,Census Tract 60; Bronx County; New York,1220,187,1033,36005006000
1400000US36005006100,Census Tract 61; Bronx County; New York,75608,Census Tract 61; Bronx County; New York,3835,1480,2355,Census Tract 61; Bronx County; New York,3835,326,3148,Census Tract 61; Bronx County; New York,3835,3183,652,36005006100
1400000US36005006200,Census Tract 62; Bronx County; New York,27243,Census Tract 62; Bronx County; New York,6206,3191,3015,Census Tract 62; Bronx County; New York,6206,265,2540,Census Tract 62; Bronx County; New York,6206,1911,4295,36005006200
1400000US36005006301,Census Tract 63.01; Bronx County; New York,58118,Census Tract 63.01; Bronx County; New York,6244,3105,3139,Census Tract 63.01; Bronx County; New York,6244,1551,3042,Census Tract 63.01; Bronx County; New York,6244,3552,2692,36005006301
1400000US36005006302,Census Tract 63.02; Bronx County; New York,-,Census Tract 63.02; Bronx County; New York,0,0,0,Census Tract 63.02; Bronx County; New York,0,0,0,Census Tract 63.02; Bronx County; New York,0,0,0,36005006302
1400000US36005006400,Census Tract 64; Bronx County; New York,40778,Census Tract 64; Bronx County; New York,3847,1770,2077,Census Tract 64; Bronx County; New York,3847,239,1300,Census Tract 64; Bronx County; New York,3847,1757,2090,36005006400
1400000US36005006500,Census Tract 65; Bronx County; New York,24184,Census Tract 65; Bronx County; New York,5182,2463,2719,Census Tract 65; Bronx County; New York,5182,1325,1924,Census Tract 65; Bronx County; New York,5182,1668,3514,36005006500
1400000US36005006700,Census Tract 67; Bronx County; New York,-,Census Tract 67; Bronx County; New York,5892,3058,2834,Census Tract 67; Bronx County; New York,5892,119,1847,Census Tract 67; Bronx County; New York,5892,1046,4846,36005006700
1400000US36005006800,Census Tract 68; Bronx County; New York,33996,Census Tract 68; Bronx County; New York,2621,1299,1322,Census Tract 68; Bronx County; New York,2621,310,388,Census Tract 68; Bronx County; New York,2621,917,1704,36005006800
1400000US36005006900,Census Tract 69; Bronx County; New York,32199,Census Tract 69; Bronx County; New York,6524,3339,3185,Census Tract 69; Bronx County; New York,6524,635,2452,Census Tract 69; Bronx County; New York,6524,2267,4257,36005006900
1400000US36005007000,Census Tract 70; Bronx County; New York,43672,Census Tract 70; Bronx County; New York,4201,2228,1973,Census Tract 70; Bronx County; New York,4201,459,990,Census Tract 70; Bronx County; New York,4201,1982,2219,36005007000
1400000US36005007100,Census Tract 71; Bronx County; New York,34853,Census Tract 71; Bronx County; New York,2562,1075,1487,Census Tract 71; Bronx County; New York,2562,319,837,Census Tract 71; Bronx County; New York,2562,871,1691,36005007100
1400000US36005007200,Census Tract 72; Bronx County; New York,64464,Census Tract 72; Bronx County; New York,5371,2699,2672,Census Tract 72; Bronx County; New York,5371,476,815,Census Tract 72; Bronx County; New York,5371,3560,1811,36005007200
1400000US36005007300,Census Tract 73; Bronx County; New York,31442,Census Tract 73; Bronx County; New York,4555,2060,2495,Census Tract 73; Bronx County; New York,4555,419,2102,Census Tract 73; Bronx County; New York,4555,2148,2407,36005007300
1400000US36005007400,Census Tract 74; Bronx County; New York,52641,Census Tract 74; Bronx County; New York,3281,1299,1982,Census Tract 74; Bronx County; New York,3281,285,1540,Census Tract 74; Bronx County; New York,3281,1268,2013,36005007400
1400000US36005007500,Census Tract 75; Bronx County; New York,35892,Census Tract 75; Bronx County; New York,6543,2812,3731,Census Tract 75; Bronx County; New York,6543,1161,2164,Census Tract 75; Bronx County; New York,6543,2333,4210,36005007500
1400000US36005007600,Census Tract 76; Bronx County; New York,53650,Census Tract 76; Bronx County; New York,5317,3049,2268,Census Tract 76; Bronx County; New York,5317,271,1418,Census Tract 76; Bronx County; New York,5317,2089,3228,36005007600
1400000US36005007700,Census Tract 77; Bronx County; New York,44447,Census Tract 77; Bronx County; New York,1996,925,1071,Census Tract 77; Bronx County; New York,1996,315,521,Census Tract 77; Bronx County; New York,1996,343,1653,36005007700
1400000US36005007800,Census Tract 78; Bronx County; New York,58513,Census Tract 78; Bronx County; New York,5858,3172,2686,Census Tract 78; Bronx County; New York,5858,878,1317,Census Tract 78; Bronx County; New York,5858,2561,3297,36005007800
1400000US36005007900,Census Tract 79; Bronx County; New York,36514,Census Tract 79; Bronx County; New York,6987,3188,3799,Census Tract 79; Bronx County; New York,6987,164,2120,Census Tract 79; Bronx County; New York,6987,1789,5198,36005007900
1400000US36005008300,Census Tract 83; Bronx County; New York,53560,Census Tract 83; Bronx County; New York,6588,3431,3157,Census Tract 83; Bronx County; New York,6588,379,1303,Census Tract 83; Bronx County; New York,6588,946,5642,36005008300
1400000US36005008400,Census Tract 84; Bronx County; New York,57083,Census Tract 84; Bronx County; New York,2716,1401,1315,Census Tract 84; Bronx County; New York,2716,400,1086,Census Tract 84; Bronx County; New York,2716,1089,1627,36005008400
1400000US36005008500,Census Tract 85; Bronx County; New York,43531,Census Tract 85; Bronx County; New York,5665,2523,3142,Census Tract 85; Bronx County; New York,5665,723,1550,Census Tract 85; Bronx County; New York,5665,1794,3871,36005008500
1400000US36005008600,Census Tract 86; Bronx County; New York,24023,Census Tract 86; Bronx County; New York,4117,1876,2241,Census Tract 86; Bronx County; New York,4117,633,1769,Census Tract 86; Bronx County; New York,4117,2046,2071,36005008600
1400000US36005008700,Census Tract 87; Bronx County; New York,40708,Census Tract 87; Bronx County; New York,6299,3240,3059,Census Tract 87; Bronx County; New York,6299,445,1600,Census Tract 87; Bronx County; New York,6299,1450,4849,36005008700
1400000US36005008900,Census Tract 89; Bronx County; New York,36625,Census Tract 89; Bronx County; New York,2993,1524,1469,Census Tract 89; Bronx County; New York,2993,347,469,Census Tract 89; Bronx County; New York,2993,610,2383,36005008900
1400000US36005009000,Census Tract 90; Bronx County; New York,33275,Census Tract 90; Bronx County; New York,3593,1305,2288,Census Tract 90; Bronx County; New York,3593,594,1334,Census Tract 90; Bronx County; New York,3593,1096,2497,36005009000
1400000US36005009200,Census Tract 92; Bronx County; New York,56913,Census Tract 92; Bronx County; New York,5675,2842,2833,Census Tract 92; Bronx County; New York,5675,790,566,Census Tract 92; Bronx County; New York,5675,2370,3305,36005009200
1400000US36005009301,Census Tract 93.01; Bronx County; New York,54241,Census Tract 93.01; Bronx County; New York,5615,2837,2778,Census Tract 93.01; Bronx County; New York,5615,430,1621,Census Tract 93.01; Bronx County; New York,5615,1588,4027,36005009301
1400000US36005009302,Census Tract 93.02; Bronx County; New York,-,Census Tract 93.02; Bronx County; New York,405,405,0,Census Tract 93.02; Bronx County; New York,405,92,202,Census Tract 93.02; Bronx County; New York,405,303,102,36005009302
1400000US36005009600,Census Tract 96; Bronx County; New York,53523,Census Tract 96; Bronx County; New York,2352,1148,1204,Census Tract 96; Bronx County; New York,2352,349,311,Census Tract 96; Bronx County; New York,2352,997,1355,36005009600
1400000US36005009800,Census Tract 98; Bronx County; New York,67500,Census Tract 98; Bronx County; New York,4647,2296,2351,Census Tract 98; Bronx County; New York,4647,1040,1239,Census Tract 98; Bronx County; New York,4647,1885,2762,36005009800
1400000US36005011000,Census Tract 110; Bronx County; New York,-,Census Tract 110; Bronx County; New York,0,0,0,Census Tract 110; Bronx County; New York,0,0,0,Census Tract 110; Bronx County; New York,0,0,0,36005011000
1400000US36005011502,Census Tract 115.02; Bronx County; New York,30172,Census Tract 115.02; Bronx County; New York,3850,1757,2093,Census Tract 115.02; Bronx County; New York,3850,211,1387,Census Tract 115.02; Bronx County; New York,3850,1111,2739,36005011502
1400000US36005011701,Census Tract 117.01; Bronx County; New York,35298,Census Tract 117.01; Bronx County; New York,1318,583,735,Census Tract 117.01; Bronx County; New York,1318,8,229,Census Tract 117.01; Bronx County; New York,1318,192,1126,36005011701
1400000US36005011702,Census Tract 117.02; Bronx County; New York,-,Census Tract 117.02; Bronx County; New York,0,0,0,Census Tract 117.02; Bronx County; New York,0,0,0,Census Tract 117.02; Bronx County; New York,0,0,0,36005011702
1400000US36005011800,Census Tract 118; Bronx County; New York,100500,Census Tract 118; Bronx County; New York,5538,3313,2225,Census Tract 118; Bronx County; New York,5538,3882,253,Census Tract 118; Bronx County; New York,5538,3418,2120,36005011800
1400000US36005011900,Census Tract 119; Bronx County; New York,36250,Census Tract 119; Bronx County; New York,5889,2792,3097,Census Tract 119; Bronx County; New York,5889,302,2370,Census Tract 119; Bronx County; New York,5889,2541,3348,36005011900
1400000US36005012101,Census Tract 121.01; Bronx County; New York,51205,Census Tract 121.01; Bronx County; New York,3413,1628,1785,Census Tract 121.01; Bronx County; New York,3413,244,1096,Census Tract 121.01; Bronx County; New York,3413,1075,2338,36005012101
1400000US36005012102,Census Tract 121.02; Bronx County; New York,43032,Census Tract 121.02; Bronx County; New York,1495,517,978,Census Tract 121.02; Bronx County; New York,1495,76,809,Census Tract 121.02; Bronx County; New York,1495,587,908,36005012102
1400000US36005012300,Census Tract 123; Bronx County; New York,36154,Census Tract 123; Bronx County; New York,4092,1801,2291,Census Tract 123; Bronx County; New York,4092,179,2229,Census Tract 123; Bronx County; New York,4092,2225,1867,36005012300
1400000US36005012500,Census Tract 125; Bronx County; New York,58333,Census Tract 125; Bronx County; New York,4146,2086,2060,Census Tract 125; Bronx County; New York,4146,359,721,Census Tract 125; Bronx County; New York,4146,868,3278,36005012500
