Complex_ID,Latitude,Longitude,MEAN_Median_Inc,SUM_Total_Popu,SUM_Male_Total,SUM_Female_Tot,SUM_White_Alon,SUM_Black_Alon,SUM_Hispanic_L,SUM_Non_Hispan
379,40.87975,-73.884655,66033.25,35807,17022,18785,6013,7779,14187,21620
380,40.873412,-73.890064,49406.88889,42536,20218,22318,4994,8436,12965,29571
381,40.86776,-73.897174,47518.07692,59573,29422,30151,6112,11414,13812,45761
382,40.862803,-73.901034,44405.4,57075,27968,29107,4521,11096,10938,46137
383,40.858407,-73.903879,42644.4,59433,27303,32130,6149,17044,15726,43707
384,40.853453,-73.907684,36620.58333,58071,25949,32122,6063,18254,17689,40382
385,40.84848,-73.911794,39183.66667,53523,23994,29529,5587,19104,19836,33687
386,40.844434,-73.914685,39139.375,64028,29782,34246,6072,22243,22713,41315
387,40.840075,-73.917791,42212.90909,60745,28840,31905,6977,18387,18482,42263
388,40.835537,-73.9214,38776.16667,58008,28749,29259,6105,20200,20821,37187
391,40.813224,-73.929849,38475.85714,37819,17376,20443,5880,15442,15837,21982
392,40.804138,-73.937594,48003.66667,29277,13802,15475,5318,11856,16930,12347
393,40.798629,-73.941617,49865.36364,57127,27469,29658,9992,23350,33656,23471
394,40.79502,-73.94425,40178.58333,64920,29680,35240,11980,24074,36804,28116
395,40.7906,-73.947478,55965.88889,47216,20099,27117,12486,11344,27149,20067
396,40.785672,-73.95107,99949.8,66467,28839,37628,37668,7128,51143,15324
397,40.779492,-73.955589,132449.2857,70281,31380,38901,56893,1056,64557,5724
141,40.674772,-73.957624,115378.9,47735,21831,25904,19407,18869,42001,5734
143,40.868072,-73.919899,62861.57143,38223,18076,20147,9830,4301,11957,26266
144,40.865491,-73.927271,47992.33333,50339,22912,27427,10391,4487,12287,38052
145,40.859022,-73.93418,106098,35247,17659,17588,17265,2379,19953,15294
146,40.851695,-73.937969,103837.5714,42718,20221,22497,18518,3059,22522,20196
147,40.847391,-73.939704,85002,64002,31032,32970,20787,4921,24520,39482
149,40.836013,-73.939892,46266.90909,60524,28848,31676,11310,15581,27016,33508
150,40.830518,-73.941514,52596.33333,76568,36066,40502,12955,25933,40937,35631
151,40.824783,-73.944216,59481,59031,28845,30186,11541,23559,35780,23251
