ARREST_DATE,ARREST_BORO,ARREST_PRECINCT,AGE_GROUP,PERP_SEX,PERP_RACE,Latitude_x,Longitude_x,station_complex_id,Latitude_y,Longitude_y,MEAN_Median_Inc,SUM_Total_Popu,SUM_Male_Total,SUM_Female_Tot,SUM_White_Alon,SUM_Black_Alon,SUM_Hispanic_L,SUM_Non_Hispan
12/21/2023,B,40,25-44,M,BLACK,40.812125995016096,-73.90418129247784,373.0,40.812118,-73.904098,28099.2,34062,15948,18114,2745,11233,10368,23694
12/20/2023,B,41,18-24,M,WHITE HISPANIC,40.82413799033059,-73.89294867750611,430.0,40.824073,-73.893064,40796.45455,44859,21358,23501,3634,13459,12935,31924
12/20/2023,B,40,25-44,M,BLACK,40.81606683945181,-73.91764392674679,434.0,40.816109,-73.917757,23556.1,49651,22350,27301,6035,18823,17113,32538
12/20/2023,B,40,18-24,M,WHITE HISPANIC,40.80755382044926,-73.91921496573,376.0,40.807566,-73.91924,29054.1,41018,18790,22228,4561,12170,12031,28987
12/20/2023,K,78,25-44,M,BLACK,40.67740561711505,-73.98304820765676,28.0,40.677316,-73.98311,163996.8571,24355,12266,12089,14841,3015,20740,3615
12/20/2023,K,75,25-44,M,BLACK,40.67540324751644,-73.87191357758088,188.0,40.675377,-73.872106,63321.22222,36142,17464,18678,2519,15696,25910,10232
12/20/2023,K,72,25-44,M,BLACK HISPANIC,40.641435145615965,-74.01781464949576,35.0,40.641362,-74.017881,55791.3,36289,17385,18904,8317,826,19443,16846
12/20/2023,K,83,25-44,M,BLACK,40.69993783385083,-73.91180788979794,630.0,40.699622,-73.9119855,85993.0,43780,21332,22448,13941,4474,19332,24448
12/20/2023,B,40,25-44,M,WHITE HISPANIC,40.81606683945181,-73.91764392674679,434.0,40.816109,-73.917757,23556.1,49651,22350,27301,6035,18823,17113,32538
12/20/2023,Q,115,45-64,M,WHITE HISPANIC,40.74684483147316,-73.89143078866834,616.0,40.746746,-73.891366,75433.0,61482,30841,30641,16282,1388,38934,22548
12/20/2023,Q,110,25-44,M,WHITE HISPANIC,40.74664168277901,-73.89139142095587,616.0,40.746746,-73.891366,75433.0,61482,30841,30641,16282,1388,38934,22548
12/20/2023,B,41,25-44,M,BLACK,40.82413799033059,-73.89294867750611,430.0,40.824073,-73.893064,40796.45455,44859,21358,23501,3634,13459,12935,31924
12/20/2023,S,120,45-64,M,WHITE,40.643566,-74.074001,501.0,40.643748,-74.073643,67443.0,9394,4439,4955,3064,3812,6705,2689
12/20/2023,K,78,18-24,M,BLACK,40.68405249798437,-73.97745785403545,617.0,40.68416167,-73.97778867,161011.8182,37731,17418,20313,18302,7499,31710,6021
12/19/2023,S,120,45-64,M,ASIAN / PACIFIC ISLANDER,40.643566,-74.074001,501.0,40.643748,-74.073643,67443.0,9394,4439,4955,3064,3812,6705,2689
12/19/2023,B,46,45-64,M,WHITE,40.848639432663525,-73.91167941229558,385.0,40.84848,-73.911794,39183.66667,53523,23994,29529,5587,19104,19836,33687
12/19/2023,B,46,45-64,M,BLACK,40.86135236106006,-73.89773676351642,213.0,40.861296,-73.897749,37857.35714,70111,33884,36227,5674,16638,16507,53604
12/19/2023,B,44,25-44,M,BLACK,40.82781161940969,-73.92592932593037,604.0,40.8279495,-73.925741,48184.75,36512,17698,18814,5317,16733,18786,17726
12/19/2023,B,47,25-44,M,BLACK,40.90348104720813,-73.85034060870207,416.0,40.903125,-73.85062,74399.0,17611,8685,8926,1052,11722,13798,3813
12/19/2023,B,46,45-64,M,WHITE,40.848639432663525,-73.91167941229558,385.0,40.84848,-73.911794,39183.66667,53523,23994,29529,5587,19104,19836,33687
12/17/2023,M,19,25-44,F,WHITE,40.779497725226406,-73.95558406794517,397.0,40.779492,-73.955589,132449.2857,70281,31380,38901,56893,1056,64557,5724
12/17/2023,Q,110,25-44,M,WHITE,40.74681219683057,-73.8917520418653,616.0,40.746746,-73.891366,75433.0,61482,30841,30641,16282,1388,38934,22548
12/17/2023,B,44,45-64,M,WHITE HISPANIC,40.82781161940969,-73.92592932593037,604.0,40.8279495,-73.925741,48184.75,36512,17698,18814,5317,16733,18786,17726
12/17/2023,M,25,25-44,M,BLACK,40.804375769710255,-73.93742023722204,392.0,40.804138,-73.937594,48003.66667,29277,13802,15475,5318,11856,16930,12347
12/17/2023,B,44,18-24,M,BLACK,40.82781161940969,-73.92592932593037,604.0,40.8279495,-73.925741,48184.75,36512,17698,18814,5317,16733,18786,17726
12/16/2023,M,33,25-44,M,WHITE HISPANIC,40.84095296978001,-73.93947116181074,605.0,40.8406375,-73.939847,50700.4,63754,30709,33045,12996,6803,18680,45074
12/16/2023,M,14,25-44,M,BLACK,40.75219043401121,-73.99346359839569,164.0,40.752287,-73.993391,128010.7778,23044,11048,11996,12059,2326,19597,3447
12/16/2023,M,5,25-44,M,BLACK,40.71313543861811,-74.0040580580704,622.0,40.713154,-74.003766,89612.5,48803,22157,26646,25554,4287,43864,4939
12/15/2023,M,26,45-64,M,BLACK,40.8107644899635,-73.952590152183,153.0,40.811109,-73.952343,55264.83333,56836,27838,28998,14533,23322,40869,15967
12/15/2023,K,67,18-24,M,BLACK,40.6451306606356,-73.94896382125884,357.0,40.645098,-73.948959,71980.54545,35481,16456,19025,1715,27210,31998,3483
12/15/2023,B,44,25-44,F,BLACK,40.82781161940969,-73.92592932593037,604.0,40.8279495,-73.925741,48184.75,36512,17698,18814,5317,16733,18786,17726
12/15/2023,Q,110,25-44,M,WHITE,40.74664168277901,-73.89139142095587,616.0,40.746746,-73.891366,75433.0,61482,30841,30641,16282,1388,38934,22548
12/15/2023,M,14,25-44,M,WHITE,40.75219043401121,-73.99346359839569,164.0,40.752287,-73.993391,128010.7778,23044,11048,11996,12059,2326,19597,3447
12/15/2023,B,40,25-44,M,BLACK,40.81856005891384,-73.92731612997096,603.0,40.8183925,-73.9270345,38380.0,30992,14239,16753,4767,13928,13726,17266
12/15/2023,M,25,25-44,M,BLACK,40.804375769710255,-73.93742023722204,392.0,40.804138,-73.937594,48003.66667,29277,13802,15475,5318,11856,16930,12347
12/15/2023,B,43,25-44,M,WHITE HISPANIC,40.82950189782912,-73.87460889175321,368.0,40.829521,-73.874516,39911.1,45225,22240,22985,2381,13372,15081,30144
12/15/2023,M,26,25-44,M,BLACK,40.8107644899635,-73.952590152183,153.0,40.811109,-73.952343,55264.83333,56836,27838,28998,14533,23322,40869,15967
12/14/2023,B,40,25-44,M,BLACK,40.80755382044926,-73.91921496573,376.0,40.807566,-73.91924,29054.1,41018,18790,22228,4561,12170,12031,28987
12/14/2023,B,44,18-24,M,BLACK HISPANIC,40.82781161940969,-73.92592932593037,604.0,40.8279495,-73.925741,48184.75,36512,17698,18814,5317,16733,18786,17726
12/14/2023,K,75,25-44,M,BLACK,40.663807310453066,-73.90041498507392,135.0,40.664038,-73.900571,39861.66667,36315,14929,21386,2161,24813,25553,10762
12/14/2023,B,48,25-44,M,WHITE HISPANIC,40.84023133456983,-73.88010010626483,427.0,40.840295,-73.880049,29398.33333,29991,14230,15761,3309,12046,10147,19844
12/14/2023,B,44,25-44,M,BLACK,40.82781161940969,-73.92592932593037,604.0,40.8279495,-73.925741,48184.75,36512,17698,18814,5317,16733,18786,17726
12/14/2023,K,77,25-44,M,BLACK,40.66986455425322,-73.9505021789545,343.0,40.669847,-73.950466,88907.25,48144,22522,25622,16992,22846,42958,5186
12/14/2023,B,47,25-44,M,BLACK,40.90348104720813,-73.85034060870207,416.0,40.903125,-73.85062,74399.0,17611,8685,8926,1052,11722,13798,3813
12/13/2023,S,120,25-44,F,BLACK,40.643566,-74.074001,501.0,40.643748,-74.073643,67443.0,9394,4439,4955,3064,3812,6705,2689
12/13/2023,B,40,25-44,M,BLACK,40.81606683945181,-73.91764392674679,434.0,40.816109,-73.917757,23556.1,49651,22350,27301,6035,18823,17113,32538
12/13/2023,M,14,45-64,M,WHITE,40.74641698170733,-73.98183247136635,403.0,40.746081,-73.982076,155538.0,48537,23030,25507,29953,2794,43228,5309
12/13/2023,Q,114,25-44,F,BLACK,40.77006271254405,-73.91807989320797,2.0,40.770258,-73.917843,110305.75,42232,21192,21040,25598,1186,32559,9673
12/13/2023,B,40,25-44,M,BLACK,40.81606683945181,-73.91764392674679,434.0,40.816109,-73.917757,23556.1,49651,22350,27301,6035,18823,17113,32538
12/13/2023,K,75,25-44,M,WHITE,40.67540324751644,-73.87191357758088,188.0,40.675377,-73.872106,63321.22222,36142,17464,18678,2519,15696,25910,10232
12/12/2023,B,52,45-64,M,WHITE HISPANIC,40.86275507175744,-73.90107874094647,382.0,40.862803,-73.901034,44405.4,57075,27968,29107,4521,11096,10938,46137
12/12/2023,B,41,25-44,M,BLACK HISPANIC,40.82413799033059,-73.89294867750611,430.0,40.824073,-73.893064,40796.45455,44859,21358,23501,3634,13459,12935,31924
12/12/2023,B,41,25-44,M,BLACK HISPANIC,40.82413799033059,-73.89294867750611,430.0,40.824073,-73.893064,40796.45455,44859,21358,23501,3634,13459,12935,31924
12/12/2023,M,14,25-44,M,BLACK,40.75219043401121,-73.99346359839569,164.0,40.752287,-73.993391,128010.7778,23044,11048,11996,12059,2326,19597,3447
12/12/2023,S,120,45-64,M,BLACK,40.643566,-74.074001,501.0,40.643748,-74.073643,67443.0,9394,4439,4955,3064,3812,6705,2689
12/12/2023,K,75,25-44,M,BLACK,40.67540324751644,-73.87191357758088,188.0,40.675377,-73.872106,63321.22222,36142,17464,18678,2519,15696,25910,10232
12/12/2023,B,41,18-24,M,BLACK,40.82413799033059,-73.89294867750611,430.0,40.824073,-73.893064,40796.45455,44859,21358,23501,3634,13459,12935,31924
12/12/2023,B,41,25-44,M,BLACK,40.82413799033059,-73.89294867750611,430.0,40.824073,-73.893064,40796.45455,44859,21358,23501,3634,13459,12935,31924
12/12/2023,B,41,18-24,M,WHITE HISPANIC,40.812125995016096,-73.90418129247784,373.0,40.812118,-73.904098,28099.2,34062,15948,18114,2745,11233,10368,23694
12/12/2023,B,44,25-44,M,BLACK,40.82781161940969,-73.92592932593037,604.0,40.8279495,-73.925741,48184.75,36512,17698,18814,5317,16733,18786,17726
12/11/2023,B,44,25-44,M,BLACK HISPANIC,40.82781161940969,-73.92592932593037,604.0,40.8279495,-73.925741,48184.75,36512,17698,18814,5317,16733,18786,17726
12/11/2023,M,14,25-44,M,BLACK,40.752001,-73.977392,610.0,40.751992,-73.97735933,126234.2222,35073,16174,18899,21221,1556,31864,3209
12/11/2023,B,46,25-44,M,WHITE HISPANIC,40.86135236106006,-73.89773676351642,213.0,40.861296,-73.897749,37857.35714,70111,33884,36227,5674,16638,16507,53604
12/11/2023,K,75,65+,M,BLACK,40.659112692479056,-73.89921817587808,136.0,40.658733,-73.899232,56750.5,26510,11339,15171,1341,19246,20713,5797
12/11/2023,K,75,18-24,M,BLACK,40.659112692479056,-73.89921817587808,136.0,40.658733,-73.899232,56750.5,26510,11339,15171,1341,19246,20713,5797
12/10/2023,K,72,25-44,M,BLACK,40.641435145615965,-74.01781464949576,35.0,40.641362,-74.017881,55791.3,36289,17385,18904,8317,826,19443,16846
12/10/2023,M,33,45-64,M,BLACK,40.84095296978001,-73.93947116181074,605.0,40.8406375,-73.939847,50700.4,63754,30709,33045,12996,6803,18680,45074
12/10/2023,K,78,25-44,M,BLACK,40.67740561711505,-73.98304820765676,28.0,40.677316,-73.98311,163996.8571,24355,12266,12089,14841,3015,20740,3615
12/10/2023,B,40,25-44,M,WHITE HISPANIC,40.80555776542496,-73.91452156345781,375.0,40.805368,-73.914042,31729.66667,34091,15741,18350,3862,9846,10203,23888
12/10/2023,Q,110,18-24,M,BLACK,40.74681219683057,-73.8917520418653,616.0,40.746746,-73.891366,75433.0,61482,30841,30641,16282,1388,38934,22548
12/10/2023,M,33,25-44,M,WHITE,40.84095296978001,-73.93947116181074,605.0,40.8406375,-73.939847,50700.4,63754,30709,33045,12996,6803,18680,45074
12/09/2023,K,84,18-24,M,WHITE HISPANIC,40.69056159330032,-73.98510385556358,336.0,40.690545,-73.985065,164937.3,38470,17618,20852,19878,6116,34077,4393
12/09/2023,B,44,25-44,M,BLACK,40.82781161940969,-73.92592932593037,604.0,40.8279495,-73.925741,48184.75,36512,17698,18814,5317,16733,18786,17726
12/08/2023,B,44,25-44,M,BLACK,40.82781161940969,-73.92592932593037,604.0,40.8279495,-73.925741,48184.75,36512,17698,18814,5317,16733,18786,17726
12/08/2023,B,41,18-24,M,WHITE HISPANIC,40.82211871477908,-73.89687933622004,431.0,40.822181,-73.896736,38044.75,54822,25318,29504,4511,16262,16282,38540
12/08/2023,B,44,45-64,M,BLACK,40.82781161940969,-73.92592932593037,604.0,40.8279495,-73.925741,48184.75,36512,17698,18814,5317,16733,18786,17726
12/08/2023,M,33,25-44,M,BLACK,40.8410766367656,-73.93976740555671,605.0,40.8406375,-73.939847,50700.4,63754,30709,33045,12996,6803,18680,45074
12/08/2023,B,44,45-64,M,BLACK HISPANIC,40.82781161940969,-73.92592932593037,604.0,40.8279495,-73.925741,48184.75,36512,17698,18814,5317,16733,18786,17726
12/08/2023,K,77,25-44,M,BLACK,40.66940230342326,-73.94219706684515,344.0,40.669399,-73.942161,73468.58333,42524,20797,21727,15800,19745,37508,5016
12/08/2023,K,72,25-44,M,BLACK,40.66047157556889,-73.99801402245733,31.0,40.660397,-73.998091,76777.0,14225,8141,6084,8056,1378,8766,5459
12/08/2023,Q,110,<18,M,WHITE HISPANIC,40.74681219683057,-73.8917520418653,616.0,40.746746,-73.891366,75433.0,61482,30841,30641,16282,1388,38934,22548
12/08/2023,Q,107,25-44,M,BLACK,40.70771584228227,-73.8027870320592,256.0,40.707564,-73.803326,72094.9,44494,22446,22048,4095,6938,29916,14578
12/08/2023,S,120,25-44,M,BLACK,40.643566,-74.074001,501.0,40.643748,-74.073643,67443.0,9394,4439,4955,3064,3812,6705,2689
12/07/2023,Q,107,18-24,M,BLACK,40.70771584228227,-73.8027870320592,256.0,40.707564,-73.803326,72094.9,44494,22446,22048,4095,6938,29916,14578
12/07/2023,Q,110,25-44,M,WHITE HISPANIC,40.74681219683057,-73.8917520418653,616.0,40.746746,-73.891366,75433.0,61482,30841,30641,16282,1388,38934,22548
12/07/2023,M,26,<18,M,BLACK,40.8107644899635,-73.952590152183,153.0,40.811109,-73.952343,55264.83333,56836,27838,28998,14533,23322,40869,15967
12/07/2023,B,44,25-44,M,WHITE HISPANIC,40.82781161940969,-73.92592932593037,604.0,40.8279495,-73.925741,48184.75,36512,17698,18814,5317,16733,18786,17726
12/07/2023,K,79,25-44,M,BLACK,40.67993899535381,-73.94120727391481,180.0,40.679921,-73.940858,94128.44444,34414,16882,17532,8785,18714,30269,4145
12/07/2023,B,46,45-64,M,WHITE,40.86135236106006,-73.89773676351642,213.0,40.861296,-73.897749,37857.35714,70111,33884,36227,5674,16638,16507,53604
12/07/2023,M,33,25-44,M,BLACK,40.84095296978001,-73.93947116181074,605.0,40.8406375,-73.939847,50700.4,63754,30709,33045,12996,6803,18680,45074
12/07/2023,M,14,18-24,M,BLACK,40.74978831616354,-73.98776859948752,607.0,40.749643,-73.9878865,146756.3333,22857,10598,12259,13190,1773,20295,2562
12/06/2023,Q,108,45-64,M,BLACK,40.74252340416111,-73.94923204826031,463.0,40.742216,-73.948916,92075.4,9967,5548,4419,4852,714,8599,1368
12/06/2023,B,44,25-44,M,BLACK,40.82781161940969,-73.92592932593037,604.0,40.8279495,-73.925741,48184.75,36512,17698,18814,5317,16733,18786,17726
