ARREST_DATE,ARREST_BORO,ARREST_PRECINCT,AGE_GROUP,PERP_SEX,PERP_RACE,Latitude,Longitude,station_complex_id
12/12/2023,B,52,45-64,M,WHITE HISPANIC,40.86275507175744,-73.90107874094647,382.0
12/12/2023,B,41,25-44,M,BLACK HISPANIC,40.82413799033059,-73.89294867750611,430.0
12/12/2023,B,41,25-44,M,BLACK HISPANIC,40.82413799033059,-73.89294867750611,430.0
12/12/2023,M,14,25-44,M,BLACK,40.75219043401121,-73.99346359839569,164.0
12/12/2023,S,120,45-64,M,BLACK,40.643566,-74.074001,501.0
12/12/2023,K,75,25-44,M,BLACK,40.67540324751644,-73.87191357758088,188.0
12/12/2023,B,41,18-24,M,BLACK,40.82413799033059,-73.89294867750611,430.0
12/12/2023,B,41,25-44,M,BLACK,40.82413799033059,-73.89294867750611,430.0
12/12/2023,B,41,18-24,M,WHITE HISPANIC,40.812125995016096,-73.90418129247784,373.0
12/12/2023,B,44,25-44,M,BLACK,40.82781161940969,-73.92592932593037,604.0
12/11/2023,B,44,25-44,M,BLACK HISPANIC,40.82781161940969,-73.92592932593037,604.0
12/11/2023,M,14,25-44,M,BLACK,40.752001,-73.977392,610.0
12/11/2023,B,46,25-44,M,WHITE HISPANIC,40.86135236106006,-73.89773676351642,213.0
12/11/2023,K,75,65+,M,BLACK,40.659112692479056,-73.89921817587808,136.0
12/11/2023,K,75,18-24,M,BLACK,40.659112692479056,-73.89921817587808,136.0
12/10/2023,K,72,25-44,M,BLACK,40.641435145615965,-74.01781464949576,35.0
12/10/2023,M,33,45-64,M,BLACK,40.84095296978001,-73.93947116181074,605.0
12/10/2023,K,78,25-44,M,BLACK,40.67740561711505,-73.98304820765676,28.0
12/10/2023,B,40,25-44,M,WHITE HISPANIC,40.80555776542496,-73.91452156345781,375.0
12/10/2023,Q,110,18-24,M,BLACK,40.74681219683057,-73.8917520418653,616.0
12/10/2023,M,33,25-44,M,WHITE,40.84095296978001,-73.93947116181074,605.0
12/09/2023,K,84,18-24,M,WHITE HISPANIC,40.69056159330032,-73.98510385556358,336.0
12/09/2023,B,44,25-44,M,BLACK,40.82781161940969,-73.92592932593037,604.0
12/08/2023,B,44,25-44,M,BLACK,40.82781161940969,-73.92592932593037,604.0
12/08/2023,B,41,18-24,M,WHITE HISPANIC,40.82211871477908,-73.89687933622004,431.0
12/08/2023,B,44,45-64,M,BLACK,40.82781161940969,-73.92592932593037,604.0
12/08/2023,M,33,25-44,M,BLACK,40.8410766367656,-73.93976740555671,605.0
12/08/2023,B,44,45-64,M,BLACK HISPANIC,40.82781161940969,-73.92592932593037,604.0
12/08/2023,K,77,25-44,M,BLACK,40.66940230342326,-73.94219706684515,344.0
12/08/2023,K,72,25-44,M,BLACK,40.66047157556889,-73.99801402245733,31.0
12/08/2023,Q,110,<18,M,WHITE HISPANIC,40.74681219683057,-73.8917520418653,616.0
12/08/2023,Q,107,25-44,M,BLACK,40.70771584228227,-73.8027870320592,256.0
12/08/2023,S,120,25-44,M,BLACK,40.643566,-74.074001,501.0
12/07/2023,Q,107,18-24,M,BLACK,40.70771584228227,-73.8027870320592,256.0
12/07/2023,Q,110,25-44,M,WHITE HISPANIC,40.74681219683057,-73.8917520418653,616.0
12/07/2023,M,26,<18,M,BLACK,40.8107644899635,-73.952590152183,153.0
12/07/2023,B,44,25-44,M,WHITE HISPANIC,40.82781161940969,-73.92592932593037,604.0
12/07/2023,K,79,25-44,M,BLACK,40.67993899535381,-73.94120727391481,180.0
12/07/2023,B,46,45-64,M,WHITE,40.86135236106006,-73.89773676351642,213.0
12/07/2023,M,33,25-44,M,BLACK,40.84095296978001,-73.93947116181074,605.0
12/07/2023,M,14,18-24,M,BLACK,40.74978831616354,-73.98776859948752,607.0
12/06/2023,Q,108,45-64,M,BLACK,40.74252340416111,-73.94923204826031,463.0
12/06/2023,B,44,25-44,M,BLACK,40.82781161940969,-73.92592932593037,604.0
12/06/2023,B,47,45-64,M,BLACK HISPANIC,40.90348104720813,-73.85034060870207,416.0
12/06/2023,K,78,18-24,M,WHITE HISPANIC,40.68405249798437,-73.97745785403545,617.0
12/06/2023,B,41,45-64,M,BLACK,40.82413799033059,-73.89294867750611,430.0
12/06/2023,S,120,25-44,M,BLACK,40.643566,-74.074001,501.0
12/06/2023,B,44,25-44,M,BLACK,40.82781161940969,-73.92592932593037,604.0
12/06/2023,M,14,25-44,M,BLACK,40.752001,-73.977392,610.0
12/06/2023,M,34,25-44,M,BLACK,40.86553571927647,-73.92726840202711,144.0
12/06/2023,B,44,25-44,M,BLACK,40.82781161940969,-73.92592932593037,604.0
12/06/2023,B,41,18-24,M,BLACK,40.82413799033059,-73.89294867750611,430.0
12/05/2023,M,25,25-44,M,BLACK,40.804375769710255,-73.93742023722204,392.0
12/05/2023,K,75,25-44,M,BLACK,40.67540324751644,-73.87191357758088,188.0
12/05/2023,M,18,45-64,M,BLACK HISPANIC,40.768407909886974,-73.9820430818357,614.0
12/05/2023,K,79,65+,M,BLACK,40.67993899535381,-73.94120727391481,180.0
12/05/2023,S,120,45-64,M,BLACK,40.643566,-74.074001,501.0
12/05/2023,B,44,25-44,M,BLACK,40.82781161940969,-73.92592932593037,604.0
12/04/2023,K,75,25-44,M,BLACK,40.67540324751644,-73.87191357758088,188.0
12/04/2023,M,26,25-44,M,UNKNOWN,40.8107644899635,-73.952590152183,153.0
12/04/2023,B,44,25-44,M,BLACK,40.82781161940969,-73.92592932593037,604.0
12/04/2023,M,14,18-24,M,WHITE,40.74641698170733,-73.98183247136635,403.0
12/03/2023,M,25,25-44,F,BLACK,40.804375769710255,-73.93742023722204,392.0
12/03/2023,M,13,45-64,M,WHITE HISPANIC,40.74332398056524,-73.98407437788978,404.0
12/03/2023,M,25,45-64,M,BLACK,40.804375769710255,-73.93742023722204,392.0
12/03/2023,M,25,18-24,F,BLACK,40.804375769710255,-73.93742023722204,392.0
12/03/2023,M,25,18-24,M,WHITE HISPANIC,40.804375769710255,-73.93742023722204,392.0
12/03/2023,K,78,18-24,M,BLACK,40.68405249798437,-73.97745785403545,617.0
12/03/2023,M,25,25-44,F,BLACK,40.804375769710255,-73.93742023722204,392.0
12/03/2023,B,40,45-64,M,BLACK,40.81856005891384,-73.92731612997096,603.0
12/02/2023,Q,110,25-44,M,BLACK,40.74681219683057,-73.8917520418653,616.0
12/02/2023,K,84,25-44,M,WHITE HISPANIC,40.69056159330032,-73.98510385556358,336.0
12/02/2023,Q,108,45-64,M,WHITE HISPANIC,40.74633332800227,-73.89632537587809,455.0
12/02/2023,B,44,25-44,M,WHITE HISPANIC,40.82781161940969,-73.92592932593037,604.0
12/01/2023,B,40,25-44,M,BLACK HISPANIC,40.80755382044926,-73.91921496573,376.0
12/01/2023,Q,112,25-44,M,WHITE,40.71444186185788,-73.8312571230394,259.0
12/01/2023,B,40,25-44,M,WHITE HISPANIC,40.81606683945181,-73.91764392674679,434.0
12/01/2023,M,33,18-24,M,WHITE HISPANIC,40.84095296978001,-73.93947116181074,605.0
12/01/2023,B,44,25-44,M,BLACK,40.82781161940969,-73.92592932593037,604.0
12/01/2023,K,90,25-44,M,BLACK,40.70842603476187,-73.95790377644676,101.0
12/01/2023,S,120,25-44,M,WHITE,40.643566,-74.074001,501.0
12/01/2023,M,33,25-44,M,WHITE HISPANIC,40.84095296978001,-73.93947116181074,605.0
12/01/2023,Q,109,18-24,F,BLACK,40.759569525960025,-73.83013930521312,447.0
12/01/2023,B,44,25-44,M,BLACK,40.82781161940969,-73.92592932593037,604.0
12/01/2023,B,40,45-64,M,BLACK HISPANIC,40.81606683945181,-73.91764392674679,434.0
11/30/2023,Q,110,25-44,M,BLACK,40.74681219683057,-73.8917520418653,616.0
11/30/2023,B,41,18-24,M,BLACK,40.82413799033059,-73.89294867750611,430.0
11/30/2023,K,75,25-44,M,BLACK,40.67271591120527,-73.89031495142463,186.0
11/30/2023,B,40,25-44,M,BLACK,40.81606683945181,-73.91764392674679,434.0
11/30/2023,M,33,25-44,M,BLACK,40.8410766367656,-73.93976740555671,605.0
11/30/2023,K,75,25-44,M,BLACK,40.67803108551081,-73.89167260564398,90.0
11/30/2023,K,75,25-44,M,BLACK,40.67271591120527,-73.89031495142463,186.0
11/30/2023,K,75,18-24,M,BLACK,40.67803108551081,-73.89167260564398,90.0
11/30/2023,S,120,25-44,M,BLACK,40.643566,-74.074001,501.0
11/30/2023,K,75,45-64,M,BLACK HISPANIC,40.67540324751644,-73.87191357758088,188.0
11/29/2023,B,40,25-44,M,WHITE,40.81606683945181,-73.91764392674679,434.0
11/29/2023,B,44,25-44,M,WHITE HISPANIC,40.840225853367535,-73.91768268616491,387.0
11/29/2023,B,40,25-44,M,WHITE HISPANIC,40.819693764479865,-73.90160159492376,432.0
11/29/2023,M,33,25-44,M,ASIAN / PACIFIC ISLANDER,40.84095296978001,-73.93947116181074,605.0
11/29/2023,B,44,25-44,M,BLACK,40.82781161940969,-73.92592932593037,604.0
11/29/2023,B,41,25-44,M,BLACK,40.82413799033059,-73.89294867750611,430.0
11/29/2023,M,33,25-44,M,BLACK,40.8410766367656,-73.93976740555671,605.0
11/29/2023,B,40,45-64,M,BLACK HISPANIC,40.819693764479865,-73.90160159492376,432.0
11/29/2023,B,41,25-44,M,BLACK,40.82413799033059,-73.89294867750611,430.0
11/29/2023,B,44,25-44,M,BLACK,40.82781161940969,-73.92592932593037,604.0
11/28/2023,B,44,18-24,M,BLACK,40.82781161940969,-73.92592932593037,604.0
11/28/2023,Q,110,18-24,M,BLACK,40.74681219683057,-73.8917520418653,616.0
11/28/2023,K,72,25-44,M,BLACK,40.66047157556889,-73.99801402245733,31.0
11/28/2023,M,14,25-44,M,WHITE HISPANIC,40.752001,-73.977392,610.0
11/28/2023,B,41,25-44,M,WHITE HISPANIC,40.82413799033059,-73.89294867750611,430.0
11/28/2023,K,75,25-44,M,BLACK,40.67271591120527,-73.89031495142463,186.0
11/28/2023,B,46,45-64,M,BLACK,40.8587088485572,-73.90369121770114,383.0
11/27/2023,K,72,25-44,M,WHITE HISPANIC,40.641435145615965,-74.01781464949576,35.0
11/27/2023,S,120,25-44,M,BLACK,40.643566,-74.074001,501.0
11/27/2023,K,60,18-24,M,WHITE HISPANIC,40.57761083502094,-73.96144207569856,55.0
11/26/2023,M,25,45-64,M,BLACK,40.804375769710255,-73.93742023722204,392.0
11/26/2023,M,25,25-44,F,BLACK,40.804375769710255,-73.93742023722204,392.0
11/26/2023,B,44,25-44,M,BLACK,40.82781161940969,-73.92592932593037,604.0
11/25/2023,M,14,25-44,M,BLACK,40.75211983767307,-73.97767664192217,610.0
11/25/2023,K,70,25-44,M,BLACK,40.632885598179925,-73.94769778544028,359.0
11/25/2023,K,78,25-44,F,BLACK HISPANIC,40.68405249798437,-73.97745785403545,617.0
11/24/2023,B,44,25-44,M,BLACK,40.82781161940969,-73.92592932593037,604.0
11/24/2023,S,120,25-44,M,BLACK,40.643566,-74.074001,501.0
11/24/2023,K,78,45-64,M,WHITE HISPANIC,40.68405249798437,-73.97745785403545,617.0
11/24/2023,B,44,18-24,M,WHITE HISPANIC,40.82781161940969,-73.92592932593037,604.0
